content,label,num_words,num_unique_words,words_vs_unique
"duy tan univ, inst global hlth innovat, da nang 550000, vietnam",6,11,11,91.66666666666666
"can tho univ, coll engn technol, campus 2,3-2 st, can tho city, vietnam",4,13,11,78.57142857142857
"hanoi univ sci & technol, int training inst mat sci, 1 dai co viet rd, hanoi 100000, vietnam",8,18,17,89.47368421052632
"ton duc thang univ, fac sci appl, ho chi minh city 7000005, vietnam",5,13,13,92.85714285714286
"vietnam acad sci & technol, inst ecol & biol resources, dept mol systemat & conservat genet, hanoi, vietnam",1,18,15,78.94736842105263
"hanoi univ sci & technol, adv inst sci & technol, dept nanosci & nanotechnol, 1 dai co viet st, hanoi, vietnam",8,21,17,77.27272727272727
"hanoi univ sci & technol, crdb, sbft, 1 dai co viet, hanoi, vietnam",8,13,13,92.85714285714286
"vast, inst marine biochem, hanoi, vietnam",1,6,6,85.71428571428571
"vietnamese acad sci & technol, inst mat sci, hanoi, vietnam",1,10,10,90.9090909090909
"duy tan univ, r&d ctr, da nang, vietnam",6,8,8,88.88888888888889
"ton duc thang univ, fac math stat, 19 nguyen huu tho,dist 7, ho chi minh city, vietnam",5,17,17,94.44444444444444
"vnu univ engn & technol, fac engn phys & nanotechnol, 144 xuan thuy, hanoi, vietnam",9,15,13,81.25
"vietnam acad sci & technol, grad univ sci & technol, 18 hoang quoc viet, cau giay, ha noi, vietnam",1,19,15,75.0
"hanoi univ sci & technol, ctr technol innovat, hanoi, vietnam",8,10,10,90.9090909090909
"int univ, sch biotechnol, linh trung ward, quarter 6, ho chi minh city, vietnam",0,14,14,93.33333333333333
"vietnam acad sci & technol, inst phys, 10 dao tan, hanoi, vietnam",1,12,11,84.61538461538461
"vietnam acad sci & technol, inst appl phys & sci instrument, 18 hoang quoc viet rd, hanoi, vietnam",1,18,15,78.94736842105263
"vast, inst math, 18 hoang quoc viet rd, hanoi, vietnam",1,10,10,90.9090909090909
"vietnam natl univ ho chi minh city, univ sci, dept chem, ho chi minh city 748000, vietnam",0,17,12,66.66666666666666
"can tho univ, adv lab sci management dept, can tho, vietnam",4,11,10,83.33333333333334
"vietnam natl univ, univ sci, hcmc, vietnam",0,7,6,75.0
"can tho univ, can tho city, vietnam",4,7,5,62.5
"duy tan univ, inst fundamental & appl sci, 3 quang trung, da nang 550000, north korea",6,16,16,94.11764705882352
"ho chi minh city univ technol, fac environm, 268 ly thuong kiet st,dist 10, ho chi minh city, vietnam",0,19,16,80.0
"can tho univ, biotechnol res & dev inst, dept mol biotechnol, cantho city, vietnam",4,14,14,93.33333333333333
"duy tan univ, int res & dev, da nang, vietnam",6,10,10,90.9090909090909
"hue univ, coll educ, ctr theoret & computat phys, 34 le loi str, hue city, vietnam",7,16,15,88.23529411764706
"vnu univ sci, fac biol, natl key lab enzyme & prot technol, hanoi, vietnam",9,14,14,93.33333333333333
"hoai, nn; van, mc, vietnam acad sci & technol, inst marine biochem, hanoi, vietnam",1,14,13,86.66666666666667
"hanoi univ sci & technol, inst engn phys, 1 dai co viet, hanoi 100000, vietnam",8,15,14,87.5
"hue univ, coll econ, hue, vietnam",7,6,6,85.71428571428571
"hue univ, univ sci, fac biol, 77 nguyen hue st, hue city 84234, vietnam",7,14,12,80.0
"duy tan univ, da nang city, vietnam",6,7,7,87.5
"hanoi univ sci & technol, collaborat program, hanoi, vietnam",8,9,9,90.0
"vast, inst nat prod chem, 18 hoang quoc viet, hanoi, vietnam",1,11,11,91.66666666666666
"vietnam natl univ agr, fac food sci & technol, hanoi, vietnam",3,11,10,83.33333333333334
"hue univ, semant web res lab, hue, vietnam",7,8,8,88.88888888888889
"vietnam acad sci & technol, dept applicat & dev technol, 18 hoang quoc viet, hanoi, vietnam",1,16,13,76.47058823529412
"vietnam natl univ, ifi, hanoi, vietnam",9,6,5,71.42857142857143
"hanoi natl univ, univ nat sci, fac phys, hanoi, vietnam",9,10,10,90.9090909090909
"vast, inst math, 18 hoang quoc viet, cau giay hanoi, vietnam",1,11,11,91.66666666666666
"hanoi univ sci & technol, dept aerosp elect, sch elect & telecommun, 410-c9,1,dai co viet st, hanoi, vietnam",8,18,17,89.47368421052632
"vast, inst marine environm & resources, 246 da nang, haiphong 180000, vietnam",1,12,12,92.3076923076923
"hanoi univ sci & technol hust, int training inst mat sci itims, hanoi, vietnam",8,14,13,86.66666666666667
"grad univ sci & technol, vietnam natl univ hochiminh city, canc res lab, hochiminh city, vietnam",0,16,12,70.58823529411765
"ton duc thang univ, fac sci appl, nat prod & ind biochem res grp npib, 19 nguyen huu tho,tan phong ward,dist 7, ho chi minh city 700000, vietnam",5,28,28,96.55172413793103
"hue univ med & pharm, fac publ heath, hue, vietnam",7,10,10,90.9090909090909
"vietnam acad sci & technol, dept bioact prod, hanoi 122100, vietnam",1,11,10,83.33333333333334
"vietnam acad sci & technol, dept adv mat sci & nanotechnol, 18 hoang quoc viet, hanoi, vietnam",1,17,14,77.77777777777779
"vietnam natl univ, ho chi minh univ sci, fac biol biotechnol, 227 nguyen van cu,dist 5, ho chi minh city, vietnam",0,21,17,77.27272727272727
"ho chi minh city univ technol, fac chem engn, dept biotechnol, 268 ly thuong kiet st,dist 10, ho chi minh city, vietnam",0,22,19,82.6086956521739
"vietnam natl univ, univ sci, dept informat technol, ho chi minh, vietnam",0,12,11,84.61538461538461
"int univ, dept math, vietnam natl univ hcmc, thu duc dist, saigon, vietnam",0,13,12,85.71428571428571
"hanoi univ sci & technol, sch transportat engn, 01 dai co viet, hanoi, vietnam",8,14,14,93.33333333333333
"hue univ agr & forestry, fac anim sci, 102 phung hung, hue, vietnam",7,13,13,92.85714285714286
"cantho univ, coll nat sci, dept biol, can tho, vietnam",4,10,10,90.9090909090909
"vast, inst trop technol, hanoi, vietnam",1,6,6,85.71428571428571
"hanoi natl univ, informat technol inst, 144 xuan thuy blvd, hanoi, vietnam",9,12,12,92.3076923076923
"cantho univ, coll informat & commun technol, can tho, vietnam",4,10,10,90.9090909090909
"vietnam natl univ agr, dept food crop sci, hanoi, vietnam",3,10,9,81.81818181818183
"hanoi univ sci & technol, 1 dai co viet rd, hanoi 100000, vietnam",8,13,12,85.71428571428571
"hue univ, dept econ & dev studies, hue, vietnam",7,9,9,90.0
"phuong, ptt; phuc, nhh, vietnam acad sci & technol, inst chem technol, 1 mac dinh chi str,dist 1, ho chi minh city, vietnam",1,23,20,83.33333333333334
"vietnam natl univ, univ econ & business, fac int business & econ, hanoi, vietnam",9,14,12,80.0
"vietnam natl univ, univ sci, 227 nguyen van cu q5, hochiminh city, vietnam",0,13,12,85.71428571428571
"int univ, dept math, linh trung ward, ho chi minh city, vietnam",0,12,12,92.3076923076923
"vietnam natl univ hanoi vnu, vnu univ sci, fac environm sci, 334 nguyen trai, hanoi, vietnam",9,16,13,76.47058823529412
"hue univ, coll agr & forestry, fac agron, dept plant protect, hue city, vietnam",7,14,13,86.66666666666667
"duy tan univ, da nang 550000, vietnam",6,7,7,87.5
"vietnam natl univ, crisp, hanoi, vietnam",9,6,5,71.42857142857143
"vnu univ engn & technol, 144 xuan thuy, hanoi, vietnam",9,10,10,90.9090909090909
"vietnam natl univ, ctr nat resources & environm studies, hanoi, vietnam",9,11,10,83.33333333333334
"vietnam natl univ, int sch, hanoi, vietnam",9,7,6,75.0
"vietnam acad sci & technol, inst trop technol, 18 hoang quoc viet, hanoi, vietnam",1,14,12,80.0
"vietnam acad sci & technol, grad univ sci & technol, 18 hoang quoc viet rd, hanoi, vietnam",1,17,13,72.22222222222221
"vietnam acad sci & technol vast, inst marine biochem, 18 hoang quoc viet rd, hanoi, vietnam",1,16,15,88.23529411764706
"vietnam natl univ, fac int studies, hanoi, vietnam",9,8,7,77.77777777777779
"vnu univ sci, natl key lab enzyme & prot technol, 334 nguyen trai, hanoi, vietnam",9,15,15,93.75
"duy tan univ, fac civil engn, inst res & dev, p809-k7-25 quang trung, danang, vietnam",6,15,15,93.75
"hue univ agr & forestry, dept int cooperat & sci technol, hue 530000, vietnam",7,14,12,80.0
"vietnam acad sci & technol, sti, 18 hoang quoc viet, hanoi, vietnam",1,12,11,84.61538461538461
"hanoi univ sci & technol, int res inst computat sci & engn icse, hanoi, vietnam",8,15,13,81.25
"vast, ims, 18 hoang quoc viet rd, hanoi, vietnam",1,9,9,90.0
"hanoi univ sci & technol, dept machinery engn, 1 dai co viet rd, hanoi, vietnam",8,15,15,93.75
"vietnam natl univ ho chi minh city, univ sci, fac chem, ho chi minh city, vietnam",0,16,10,58.82352941176471
"hanoi univ sci, dept math, 334 nguyen trai, hanoi, vietnam",9,10,10,90.9090909090909
"ton duc thang univ, fac informat technol, 19 nguyen huu tho, ho chi minh city, vietnam",5,16,16,94.11764705882352
"ctr high technol dev htd, 18 hoang quoc viet st, hanoi 122121, vietnam",1,13,13,92.85714285714286
"hanoi univ sci & technol, ctr training excellent students, hanoi, vietnam",8,11,11,91.66666666666666
"vietnam acad sci & technol, 18th hoang quoc viet st, hanoi, vietnam",1,12,11,84.61538461538461
"hanoi univ sci & technol, sch chem engn, 1 dai co viet, hanoi 100000, vietnam",8,15,14,87.5
"ha noi univ sci & technol, dept opt & optoelect, sch engn phys, 1 dai co viet rd, hanoi, vietnam",8,20,19,90.47619047619048
"vietnam natl univ ho chi minh city vnu hcm, int univ, dept biomed engn, linh trung ward, quarter 6, ho chi minh city 70000, vietnam",0,25,20,76.92307692307693
"vietnam natl univ ho chi minh city, dept math, int univ, linh trung ward, quarter 6, ho chi minh city, vietnam",0,21,16,72.72727272727273
"vietnam natl univ hanoi, hmi lab, univ engn & technol, hanoi, vietnam",9,12,9,69.23076923076923
"ton duc thang univ, fac elect & elect engn, 19 nguyen huu tho str,7th dist, hcm city, vietnam",5,18,17,89.47368421052632
"vietnam natl univ hochiminh city, inst environm & resources, 142 to hien thanh st,dist 10, ho chi minh city, vietnam",0,20,18,85.71428571428571
"duy tan univ, fac elect & elect engn, danang city, vietnam",6,11,10,83.33333333333334
"vietnam acad sci & technol, inst mat sci, 18-hoang quoc viet st, ho chi minh city, vietnam",1,17,16,88.88888888888889
"ton duc thang univ, fac informat technol, div algorithms & technol networks anal, ho chi minh city, vietnam",5,18,18,94.73684210526315
"hanoi univ sci, dept phys, 334 nguyen trai, hanoi 10000, vietnam",9,11,10,83.33333333333334
"vietnam natl univ hanoi, dept math, hanoi, vietnam",9,8,6,66.66666666666666
"ton duc thang univ, fac sci appl, dept management sci & technol, ho chi minh city, vietnam",5,17,16,88.88888888888889
"vietnam natl univ hcm, int univ, sch biotechnol, quarter 6, ho chi minh city, vietnam",0,15,14,87.5
"int univ vnuhcm, ho chi minh city, vietnam",0,8,8,88.88888888888889
"duy tan univ, inst res & dev, ctr adv chem, k7-25 quang trung, da nang, vietnam",6,16,16,94.11764705882352
"ton duc thang univ, fac environm & labour safety, sustainable management nat resources & environm r, ho chi minh city, vietnam",5,21,19,86.36363636363636
"vietnam natl univ, univ sci, stem cell res & applicat lab, ho chi minh city, vietnam",0,16,15,88.23529411764706
"ton duc thang univ, green energy technol res grp, 19 nguyen huu tho st,tan phong ward,dist 7, ho chi minh city 70000, vietnam",5,23,23,95.83333333333334
"hue univ med & pharm, inst community hlth res, hue city, vietnam",7,12,11,84.61538461538461
"vnu hanoi univ engn & technol uet, adv mat & struct lab, 144,xuan thuy, hanoi, vietnam",9,16,15,88.23529411764706
"vietnam natl univ, dept clin psychol, hanoi, vietnam",9,8,7,77.77777777777779
"vietnam natl univ ho chi minh city, univ sci, dept chem, 227 nguyen cu,dist 5, ho chi minh city, vietnam",0,20,14,66.66666666666666
"vietnam natl univ, univ sci, lab res & applicat stem cell, ho chi minh city, vietnam",0,16,15,88.23529411764706
"vietnam acad sci & technol, inst oceanog, dept marine biochem, nha trang city, vietnam",1,14,13,86.66666666666667
"vietnam acad sci & technol, inst marine geol & geophys, a27,18 hoang quoc viet, hanoi, vietnam",1,16,14,82.35294117647058
"vietnam acad sci & technol vast, inst phys, 1 mac dinh chi st,dist 1, ho chi minh city, vietnam",1,19,17,85.0
"vietnam acad sci & technol, inst phys ho chi minh city, ho chi minh 70000, vietnam",1,16,12,70.58823529411765
"cantho univ, coll environm & nat resources, dept environm management & nat resources, cantho city, vietnam",4,16,11,64.70588235294117
"vietnam natl univ, vnu univ engn & technol, vnu key lab micronano technol, 144 xuan thuy rd, hanoi, vietnam",9,19,16,80.0
"vietnam acad sci & technol, inst trop biol, dept environm management & technol, 85 tran quoc toan,dist 3, ho chi minh city, vietnam",1,23,20,83.33333333333334
"vietnam natl univ, fac chem, 19 le thanh tong st, hanoi 10000, vietnam",9,13,12,85.71428571428571
"vietnam natl univ ho chi minh city, univ sci, dept mol & environm biotechnol, 227 nguyen van cu st,dist 5, ho chi minh city, vietnam",0,25,19,73.07692307692307
"vietnamese acad sci & technol, hanoi, vietnam",1,7,7,87.5
"cantho univ, coll engn technol, can tho, vietnam",4,8,8,88.88888888888889
"duy tan univ, inst res & dev, k7-25 quangtrung, danang, vietnam",6,11,11,91.66666666666666
"ton duc thang univ, fac sci appl, tan phong ward, 19 nguyen huu tho st,dist 7, ho chi minh city 700000, vietnam",5,22,22,95.65217391304348
"vast, inst biotechnol ibt, 18 hoang quoc viet, hanoi, vietnam",1,10,10,90.9090909090909
"vietnam natl univ, int univ, sch biotechnol, ho chi minh city, vietnam",0,12,10,76.92307692307693
"dream ctu ird, can tho, vietnam",4,6,6,85.71428571428571
"duytan univ, k7-25 quang trung, danang, vietnam",6,7,7,87.5
"hanoi natl univ, ctr nat resources & environm studies, 19 le thanh tong, hanoi, vietnam",9,15,15,93.75
"hue univ, dept environm sci, coll sci, hue 470000, vietnam",7,10,8,72.72727272727273
"hust, lab petrochem & catalysis mat, 01 dai co viet rd, hanoi, vietnam",8,13,13,92.85714285714286
"viet nam natl univ ho chi minh city vnu hcm, ctr water management & climate change wacc, ho chi minh city 12345, vietnam",0,23,19,79.16666666666666
"vnu key lab geoenvironm & climate change response, hanoi, vietnam",9,10,10,90.9090909090909
"hanoi univ sci & technol, sch chem engn, 1 dai co viet st,hai ba trung dist, hanoi, vietnam",8,18,18,94.73684210526315
"ton duc thang univ, fac environm & labour safety, environm qual atmospher sci & climate change res, dist 7, ho chi minh city, vietnam",5,24,22,88.0
"viet nam natl univ, coll sci, dept math, hanoi, vietnam",9,10,10,90.9090909090909
"vnu univ sci, fac chem, dept organ chem, 19 le thanh tong, hoan kiem, ha noi, vietnam",9,17,16,88.88888888888889
"vietnam natl univ, vnu univ engn & technol, hanoi, vietnam",9,10,9,81.81818181818183
"vast, ctr informat & comp, hanoi, vietnam",1,7,7,87.5
"ho chi minh city univ technol, dept civil engn, 268 ly thuong kiet st,ward 14,dist 10, ho chi minh city, vietnam",0,21,18,81.81818181818183
"univ sci & technol hanoi, dept adv mat sci & nanotechnol, 18 hoang quoc viet, hanoi 100000, vietnam",1,18,16,84.21052631578947
"hue univ med & pharm, inst community hlth res, hue, australia",7,11,11,91.66666666666666
"hue univ sci, dept informat technol, hue, vietnam",7,8,8,88.88888888888889
"vietnam natl univ, vnu univ sci, fac phys, 334 nguyen trai st, hanoi, vietnam",9,14,13,86.66666666666667
"vietnam acad sci & techol, inst mat sci, 18 hoang quoc viet rd, hanoi, vietnam",1,15,14,87.5
"can tho univ, fac agr & appl biol, 3-2 xuan khanh, ninh kieu, can tho, vietnam",4,16,15,88.23529411764706
"vietnam natl univ, univ econ & law, dept econ math, ho chi minh city, vietnam",0,15,13,81.25
"duy tan univ, inst res & dev, ctr mol biol, k7-25 quang trung st, danang city, vietnam",6,17,17,94.44444444444444
"hanoi univ sci, fac math mech & informat, 334 nguyen trai st, hanoi, vietnam",9,14,14,93.33333333333333
"ton duc thang univ, theoret particle phys & cosmol res grp, ho chi minh city 700000, vietnam",5,17,17,94.44444444444444
"hanoi univ sci & technol, sch chem engn, dept phys chem, 1,dai co viet st,hai ba trung dist, hanoi, vietnam",8,20,20,95.23809523809523
"ton duc thang univ, inst computat sci, div computat math & engn, ho chi minh city, vietnam",5,17,16,88.88888888888889
"can tho univ, coll agr & appl biol, dept food technol, campus 2 3-2 st, can tho city, vietnam",4,19,17,85.0
"ha noi univ sci & technol, dai co viet rd 1, hanoi, vietnam",8,13,13,92.85714285714286
"vietnam natl univ, hanoi univ sci, fac environm sci, 334 nguyen trai rd, hanoi, vietnam",9,15,13,81.25
"vietnam natl univ hcmc, sch med, div biochem & mol biol, ward 6, ho chi minh city, vietnam",0,18,17,89.47368421052632
"vietnam acad sci & technol, inst marine environm & resources, haiphong, vietnam",1,12,10,76.92307692307693
"vietnam acad sci & technol, inst mat sci, 18 hoang quoc viet, caugiay, hanoi, vietnam",1,15,14,87.5
"int univ, vnu hcmc, ho chi minh city, vietnam",0,9,9,90.0
"vietnam acad sci & technol, ho chi minh city inst phys, mac dinh chi str 1,dist 1, ho chi minh city, vietnam",1,22,17,73.91304347826086
"ton duc thang univ, wireless commun res grp, fac elect & elect engn, ho chi minh city, vietnam",5,18,17,89.47368421052632
"hue univ med & pharm, dept pharmacognosy, 6 ngo quyen, vint ninh, hue, vietnam",7,14,14,93.33333333333333
"vietnam natl univ, vnu univ sci, fac chem, 334 nguyen trai st, hanoi, vietnam",9,14,13,86.66666666666667
"vietnam natl univ, natl key lab digital control & syst engn, ho chi minh city, vietnam",0,16,14,82.35294117647058
"vietnam acad sci & technol, inst math, hanoi 10307, vietnam",1,10,9,81.81818181818183
"duy tan univ, inst res & dev, da nang city 550000, vietnam",6,12,12,92.3076923076923
"vietnam natl univ, sch pharm, hanoi, vietnam",9,7,6,75.0
"duy tan univ, k7-25 quang trung rd, danang, vietnam",6,9,9,90.0
"vietnam natl univ ho chi minh city, 227 nguyen van cu st,award 4,dist 5, ho chi minh city, vietnam",0,19,14,70.0
"can tho univ, coll rural dev, can tho, vietnam",4,9,8,80.0
"vietnam acad sci & technol, inst chem, 18 hoang quoc viet, nghia do, cau giay, vietnam",1,16,15,88.23529411764706
"vast, inst marine biochem, dept bioact prod, 18 hoang quoc viet, hanoi, vietnam",1,13,13,92.85714285714286
"vietnam acad sci & technol, dept marine phytoplankton, inst oceanog, 01 cau da, nha trang city, vietnam",1,17,16,88.88888888888889
"vietnam natl univ, sch med & pharm, hanoi, vietnam",9,9,8,80.0
"ton duc thang univ, fac elect & elect engn, hochiminh 700000, vietnam",5,12,11,84.61538461538461
"univ sci vnu, fac math mech & informat, 334 nguyen trai, hanoi, vietnam",9,13,13,92.85714285714286
"hust, dept automat & control thermal proc, hanoi, vietnam",8,9,9,90.0
"vietnam natl univ, univ sci, polymer & composite mat, 227 nguyen van cu st, ho chi minh city 700000, vietnam",0,20,19,90.47619047619048
"vietnam acad sci & technol, inst trop biol, 85 tran quoc toan str,dist 3, ho chi minh city, vietnam",1,19,18,90.0
"vast, inst phys, 10 dao tan st, hanoi, ba dinh region, vietnam",1,12,12,92.3076923076923
"hanoi univ sci & technol hust, adv inst sci & technol aist, 01 dai co viet, hanoi, vietnam",8,18,15,78.94736842105263
"hanoi univ sci & technol, sch chem engn, 1 dai co viet st, hanoi, vietnam",8,15,15,93.75
"vietnam acad sci & technol, inst mat sci, 18 hoang quoc viet rd, hanoi 100000, vietnam",1,16,15,88.23529411764706
"ton duc thang univ, div computat mech, ho chi minh, vietnam",5,11,11,91.66666666666666
"cantho univ, dept agr genet & breeding, coll agr & appl biol, 3-2 st, cantho city, vietnam",4,17,14,77.77777777777779
"hanoi univ sci & technol, 01 dai co viet rd, hanoi, vietnam",8,12,12,92.3076923076923
"vietnam natl univ, univ sci, dept phys chem, fac chem, ho chi minh city 70000, vietnam",0,16,14,82.35294117647058
"ho chi minh city univ technol, elect & elect engn sch, ho chi minh city 70000, vietnam",0,17,12,66.66666666666666
"can tho univ, coll agr & appl biol, dept soil sci, campus 2,3-2 st, can tho city, vietnam",4,18,16,84.21052631578947
"vietnam acad sci & technol, ctr training consultancy & technol transfer, 18 hoang quoc viet rd, hanoi, vietnam",1,18,16,84.21052631578947
"univ sci & technol hanoi, ictlab res lab, hanoi, vietnam",8,10,9,81.81818181818183
"viet nam natl univ ho chi minh city, inst environm & resources, ho chi minh 740500, vietnam",0,17,14,77.77777777777779
"vietnam natl univ, univ sci, fac mat sci, dept polymer & composite mat, ho chi minh city 227, nguyen van cu, vietnam",0,22,20,86.95652173913044
"hanoi univ sci & technol, dept instrumentat & ind informat, hanoi, vietnam",8,12,11,84.61538461538461
"can tho tech econ coll, food sci dept, can tho, vietnam",4,11,10,83.33333333333334
"ton duc thang univ, fac civil engn, 19 nguyen huu tho st,dist 7, ho chi minh city 700000, vietnam",5,19,19,95.0
"vietnam natl univ, ho chi minh int univ, sch biotechnol, ho chi minh city, vietnam",0,15,10,62.5
"vietnam acad sci & technol, inst mat sci, 18 hoang quoc viet rd, hanoi, vietnam",1,15,14,87.5
"hust, cnrs, int res inst mica, inp grenoble,comp vis dept,umi 2954, hanoi, vietnam",8,13,13,92.85714285714286
"vietnam natl univ, univ sci, dept math & comp sci, ho chi minh city, vietnam",0,15,13,81.25
"vietnam natl univ agr, dept plant biotechnol, fac biotechnol, ngo xuan quang st, hanoi 100000, vietnam",3,16,14,82.35294117647058
"vietnam natl univ ho chi minh city, john neumann inst, ho chi minh city, vietnam",0,15,10,62.5
"vietnam acad sci & technol, grad univ sci & technol, ctr quantum & opt sci, hanoi, vietnam",1,17,12,66.66666666666666
"ho chi minh city univ technol, dept food technol, 268 ly thuong kiet st,dist 10, ho chi minh city, vietnam",0,20,16,76.19047619047619
"can tho univ, dept environm sci, coll environm & nat resources, campus 2,3-2 st, can tho city, vietnam",4,18,15,78.94736842105263
"vnu univ sci, fac chem, hanoi 19 le thanh tong st, hanoi, vietnam",9,13,13,92.85714285714286
"duy tan univ, inst res & dev, ctr mol biol, da nang, vietnam",6,13,13,92.85714285714286
"vast, southern inst ecol, 01 mac dinh chi,dist 1, ho chi minh city, vietnam",1,14,14,93.33333333333333
"quantitat & computat finance lab, ho chi minh, vietnam",0,9,9,90.0
"can tho univ, mekong dev & res inst, can tho, vietnam",4,11,10,83.33333333333334
"hust, itims, 1 dai co viet, hanoi, vietnam",8,8,8,88.88888888888889
"vietnamese acad sci & technol, inst chem, 18 hoang quoc viet str, hanoi, vietnam",1,14,14,93.33333333333333
"hanoi univ sci & technol, int inst computat sci & engn, hanoi, vietnam",8,13,11,78.57142857142857
"vietnam natl univ, univ sci, fac chem, dept polymer chem, ho chi minh city 227, nguyen van cu, vietnam",0,19,17,85.0
"ton duc thang univ, green energy technol res grp, ho chi minh city, vietnam",5,14,14,93.33333333333333
"vietnam natl univ, sch biotechnol, int univ, linh trung ward, quarter 6, ho chi minh city, vietnam",0,17,15,83.33333333333334
"vietnam natl univ hcmc, sch business hcmiu, quarter 6, ho chi minh city, vietnam",0,14,13,86.66666666666667
"ton duc thang univ, sustainable dev civil engn res grp, fac civil engn, ho chi minh city, vietnam",5,18,17,89.47368421052632
"hanoi univ sci & technol, dept elect technol & biomed engn, 1 dai co viet rd, hanoi 10000, vietnam",8,19,17,85.0
"vnuh, uet, 144 xuan thuy, hanoi, vietnam",9,7,7,87.5
"duy tan univ, fac informat technol, da nang 550000, vietnam",6,10,10,90.9090909090909
"vast, inst ecol & biol resource, 18 hoang quoc viet, hanoi, vietnam",1,12,12,92.3076923076923
"vast, imbc, advanced ctr bioorgan chem, 18-hoang quoc viet, hanoi, vietnam",1,11,11,91.66666666666666
"vietnam acad sci & technol, univ sci & technol, 18 hoang quoc viet, hanoi, vietnam",1,15,11,68.75
"hue univ agr & forestry, ctr climate change study cent vietnam, hue, vietnam",7,13,13,92.85714285714286
"duy tan univ, inst res & dev, p809,3 quang trung, hai chau, da nang, vietnam",6,15,15,93.75
"hue univ sci, 77 nguyen hue st, hue city, vietnam",7,10,8,72.72727272727273
"ha noi univ sci & technol, sch engn phys, dept gen phys, 1 dai co viet rd, hanoi, vietnam",8,19,18,90.0
"ho chi minh city univ technol, fac comp sci & engn, vnu hcm, ho chi minh city, vietnam",0,18,15,78.94736842105263
"vietnam natl univ, int univ, dept biomed engn, ho chi minh city, vietnam",0,13,11,78.57142857142857
"cantho univ, dept genet & plant breeding, can tho, vietnam",4,10,10,90.9090909090909
"vietnam acad sci & technol, inst environm technol, 18 hoangquocviet rd, hanoi, vietnam",1,13,11,78.57142857142857
"hue univ, coll sci, hue city, vietnam",7,7,6,75.0
"vietnam acad sci & technol, tay nguyen inst sci res, dalat city, lam dong provin, vietnam",1,16,14,82.35294117647058
"vast, ims, 18 hoang quoc viet, hanoi, vietnam",1,8,8,88.88888888888889
"vietnam natl univ, hanoi univ sci, fac chem, 334 nguyen trai, hanoi, vietnam",9,13,12,85.71428571428571
